"file","keyword_found"
"SP6805.pdf","methane"
"SP7026.pdf","methane"
"SP7218.pdf","methane"
"SP7268.pdf","methane"
"SP7277.pdf","methane"
"SP7277.pdf","natural gas"
"SP7477.pdf","methane"
"SP7657.pdf","methane"
"SP7657.pdf","natural gas"
"SP7767.pdf","methane"
"SP7862.pdf","1972"
"SP7928.pdf","LPG"
"SP7945.pdf","methane"
"SP7971.pdf","1972"
"SP8009.pdf","methane"
"SP8009.pdf","natural gas"
"SP8013.pdf","methane"
"SP8059.pdf","methane"
"SP8059.pdf","natural gas"
"SP8060.pdf","methane"
"SP8074.pdf","methane"
"SP8162.pdf","methane"
"SP8196.pdf","methane"
"SP8391.pdf","methane"
"SP8439.pdf","methane"
"SP8495.pdf","methane"
"SP8523.pdf","methane"
"SP8718.pdf","methane"
"SP8725.pdf","methane"
"SP8725.pdf","natural gas"
"SP8757.pdf","methane"
"SP8757.pdf","natural gas"
"SP8795.pdf","methane"
"SP8814.pdf","methane"
"SP8814.pdf","natural gas"
"SP8820.pdf","methane"
"SP8915.pdf","methane"
"SP8965.pdf","methane"
"SP8971.pdf","1972"
"SP9001.pdf","methane"
"SP9001.pdf","natural gas"
"SP9023.pdf","methane"
"SP9024.pdf","methane"
"SP9266.pdf","methane"
"SP9347.pdf","methane"
"SP9370.pdf","natural gas"
"SP9393.pdf","methane"
"SP9401.pdf","methane"
"SP9402.pdf","methane"
"SP9421.pdf","natural gas"
"SP9478.pdf","methane"
"SP9490.pdf","methane"
"SP9491.pdf","methane"
"SP9530.pdf","methane"
"SP9634.pdf","methane"
"SP9634.pdf","natural gas"
"SP9706.pdf","natural gas"
"SP9716.pdf","methane"
"SP9880.pdf","methane"
"SP9909.pdf","natural gas"
"SP9940.pdf","methane"
