Name of facility,"City, State",Facility Type,Race,Gender ,Still in existence,Years of Existence,Deaths,Death qualifiers,Cemetery,State of cemetery,Reported on recently,Allegations of Abuse,Allegations of Forced Labor,Notes
Sockanosset Boys Training School,"Cranston, Rhode Island ",Reformatory ,Unknown,Boys ,Yes,1881-,,,Possible,unknown,yes ,unknown,unknown,"https://www.providencejournal.com/story/news/local/2024/04/28/century-old-paupers-cemetery-restored-by-volunteers-unique-history-project-cranston-rhode-island/73476822007/#:~:text=The%20project%20includes:%20*%20Mapping%20the%20cemetery,Department%20of%20Children%2C%20Youth%20and%20Families%20officials"
Girls Industrial School,"Delaware, Ohio",Industrial School,All races but segregated,Girls ,No,1840,72,72,yes,maintained,no,unknown,unknown,"https://www.ghmchs.org/girls-industrial-school
https://www.findagrave.com/cemetery/2240803/memorial-search?cemeteryName=Ohio+Home+Cemetery&page=2#sr-91961775 "
Eldora State Training School for Boys,"Eldora, Iowa",Reformatory ,Unknown,Boys ,Yes,1868-,1,at least 1,yes,unknown,no,yes ,unknown,"https://www.nytimes.com/1945/09/09/archives/midwest-states-reformschool-riot-stirs-youthdelinquency-debate.html
1 death certificate on Findagrave cites the school's burial grounds: https://www.findagrave.com/memorial/206524326/arthur-whited 
There is a google map location: https://maps.app.goo.gl/kz1Gi1XXdkZsz61aA "
South Carolina Reformatory for Colored Boys ,"Florence, South Carolina",Reformatory ,Black youth,Boys ,Unknown,1907,,,no,unknown,no,unknown,unknown,"https://www.djj.sc.gov/about/our-history#:~:text=The%20Industrial%20School%20for%20White%20Boys%20was,land%20purchased%20on%20Broad%20River%20Road%20Complex"
South Carolina Reformatory for White Boys,"Florence, South Carolina",Reformatory ,White youth ,Boys ,Unknown,1907,,,no,unknown,no,unknown,unknown,"https://www.djj.sc.gov/about/our-history#:~:text=The%20Industrial%20School%20for%20White%20Boys%20was,land%20purchased%20on%20Broad%20River%20Road%20Complex"
Arizona State Industrial School for Wayward Boys and Girls,"Benson, Arizona",Industrial School,Unknown,Both,No,1912-1983,,,no,unknown,no,yes ,unknown,https://azmemory.azlibrary.gov/nodes/view/186579
Gainesville State School for Girls,"Gainsville, Texas",Industrial School,White youth ,Girls,Yes,1913-1989,,,no,unknown,no,yes ,unknown,"https://www.tshaonline.org/handbook/entries/gainesville-state-school-for-girls
https://www.facebook.com/groups/GainesvilleCurbside/posts/1597780574275017/ "
Illinois State Training School for Girls,"Geneva, Illinois",Reformatory ,All races but segregated,Girls,No,1893–1976,58,58,yes,maintained,yes ,yes ,unknown,"First thing that pops up on google: https://maps.app.goo.gl/7DCHrNiBeU6Kha92A 
https://chicagoreader.com/news/feature-news-politics/illinois-school-prison-history-girls/?fbclid=IwY2xjawQ5MENleHRuA2FlbQIxMQBicmlkETFqY3laQ2pNb1pJN0swNWRIc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHtH-
MVzQUMCsAT53w92cROGAIr0foReLIgufEzd-oUK5n82PeqnjB1fMzDd4_aem_czI7xnXdDSJaryBXftK6bQ 
https://marla-rose.medium.com/the-suburban-cemetery-for-wayward-girls-and-their-babies-4d00cf49927f 
https://www.findagrave.com/cemetery/2267784/state-training-school-for-girls-cemetery "
Girls' Industrial School,"Geneva, Nebraska",Industrial School,Unknown,Girls ,No,1891-2021,,,no,unknown,no,unknown,unknown,https://nebraska.lyrasistechnology.org/repositories/2/archival_objects/46896
"Colorado State Industrial School for Boys
","Golden, Colorado",Industrial School,Unknown,Boys ,Yes,1881,,,no,unknown,no,yes ,yes ,"https://www.dailykos.com/stories/2017/11/5/1710177/-In-57-a-judge-said-incorrigible-and-sent-me-to-reform-school-Such-places-still-need-big-fixes
http://coloradovirtuallibrary.org/resource-sharing/state-pubs-blog/time-machine-tuesday-state-industrial-schools/#:~:text=State%20Industrial%20Schools%20were%20established%20in%20the,arrested%20for%20%22habitually%20wandering%20about%20the%20streets%22 "
Waialeʻe Industrial School for Boys,"O'ahu, Hawaii",Industrial School,Pacific Islander,Boys ,No,1901-1950s,1,1,Possible,unknown,yes ,yes ,yes ,https://www.hawaiipublicradio.org/local-news/2024-05-03/researchers-begin-to-uncover-what-really-happened-at-the-waialee-boys-school
 State Home and Industrial School for Girls ,"Morrison, Colorado",Industrial School,Unknown,Girls ,Yes,1887,,,no,unknown,no,unknown,unknown,https://coloradoencyclopedia.org/article/state-industrial-school-girls
Cameron Morrison Training School for Negroes,"Hoffman, North Carolina",Reformatory ,Black youth,Boys ,Yes,1925,,,no,unknown,no,yes ,yes ,https://www.charlotteobserver.com/opinion/article254945937.html
Indiana House of Refuge,"Plainfield, Indiana",Reformatory ,Unknown,Boys ,Unknown,1867,59,"over 100 on a chart someone put together per annual reports, but citing Find a grave as it more authoritative",yes,maintained,no,yes ,unknown,"https://en.wikipedia.org/wiki/Indiana_Boys_School
Someone put together a list of deaths at the facility per annual reports: https://www.plainfieldlibrary.net/wp-content/uploads/2017/03/Deaths-at-Indiana-Boys-School-1869-1932.pdf 
https://www.findagrave.com/cemetery/1987455/indiana-boys-school-cemetery "
Indiana Reformatory Institution for Women and Girls,"Indianapolis, Indiana",Reformatory ,Unknown,Girls ,No,1869-2009,,,no,unknown,yes ,unknown,unknown,"https://historicindianapolis.com/family-tree-the-indiana-girls-school/
https://19thnews.org/2023/03/forgotten-history-first-public-womens-prison-indiana/ "
Preston School of Industry,"Ione, California",Industrial School,All races,Boys ,No,1894-2011,18,18,yes,maintained,yes ,yes ,unknown,"https://www.cdcr.ca.gov/insidecdcr/2022/10/24/tales-from-the-cemetery-preston-holds-remains-of-18/
Could be maintained and seemingly once was, but adjoining facility is either in disrepair or holds tours as a haunted castle. 
https://www.findagrave.com/cemetery/2308896/preston-school-of-industry-cemetery 
https://prestoncastlehistory.blogspot.com/2015/02/the-boys-buried-in-cemetery.html "
