Name of facility,"City, State",Facility Type,Race,Gender ,Still in existence,Years of Existence,Deaths,Death qualifiers,Cemetery,State of cemetery,Reported on recently,Allegations of Abuse,Allegations of Forced Labor,Notes
Illnois State Home for Deliquent Boys ,"St. Charles, Illinois",Reformatory,All races but segregated,Boys ,No,1902 - present (operates under a different name) ,Unknown ,Unknown ,no,SELECT,yes ,yes ,yes ,(later the Illinois Youth Center - St. Charles) link to report:  https://www.lawsuit-information-center.com/sex-abuse-lawsuits-against-illinois-youth-center-st-charles.html 
St. Louis House of Refuge,"St. Louis, Missouri",Reformatory,All races but segregated,Both,No,1855 - late 1890s ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,"https://dutchtownstl.org/2023/09/house-of-refuge-marquette-park/#:~:text=The%20House%20of%20Refuge's%20punishments%20included:%20*,the%20land%20was%20converted%20into%20Marquette%20Park."
Oklahoma State Training School for Incorrigible Negro Girls ,"Taft, Oklahoma",Correctional,Black youth,Girls ,No,1917 - 1964 ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,"Based on available, albeit fragmented, accounts from similar historical institutions, the Oklahoma State Training School for Incorrigible Negro Girls likely faced allegations of forced labor, poor nutrition, and harsh disciplinary conditions. Testimonies from similar era-specific training schools for girls described, for example, forced farm work (manure/dirt), severe food restriction as punishment, and lack of hygiene products."
Oklahoma State Industrial School for Girls,"Tecumseh, Oklahoma",Reformatory,White youth ,Girls ,No,1930s (mid) - ? ,Unknown ,Unknown ,no,SELECT,no,unknown,unknown,
State Industrial School for Boys ,"Topeka, Kansas",Reformatory,All races,Boys ,SELECT,1881 - present (under new name and a prison facility not as an active educationa linsutrials school for boys) ,Unknown ,Unknown ,no,SELECT,no,yes ,no,General info about the facility 
State Industrial School for Girls,"Trenton, New Jersey",Industrial School,Unknown,Girls ,SELECT,1871 - 1970s (mid to late) ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,Article about school 
National Training School for Boys ,"Washington, D.C.",Correctional,All races but segregated,Boys ,No,1909 - 1968 ,Unknown ,Unknown ,no,SELECT,no,yes ,no,
District of Columbia Reform School for Girls ,"Washington, D.C.",Reformatory,Black youth,Girls ,No,1888 - 1953 ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,"The District of Columbia Reform School for Girls (later the National Training School for Girls) existed for roughly 65 years, from its authorization in 1888 to its effective closure in 1953. It was renamed in 1912 and served as a federal correctional facility for delinquent girls until moving to Maryland and later shutting down due to poor conditions and declining population."
Vermont Reform School,"Waterbury, Vermont",Correctional,White youth ,Boys ,No,1874 - 1979 ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,"While no explicit, published ""white-only"" policy from 1874 is frequently cited, the demographics and social landscape of 19th-century Vermont meant the school was overwhelmingly, if not exclusively, serving white children in its earliest years."
House of Refuge for Juvenile Delinquents,"Waukesha, Wisconsin",Industrial School,White youth ,Boys ,No,1825 - 1860 ,Unknown ,Unknown ,no,SELECT,no,yes ,yes ,
State Reform School,"West Meridian, Connecticut",Correctional,All races but segregated,Boys ,No,1854 - 1995 ,100 + ,100 + ,yes,maintained,no,yes ,yes ,"Link to cemetery ledger and death certificates Historical documents primarily identify the population as ""boys"" and report on the burial of ""boys"" (many of whom were Irish immigrant children), suggesting it was for boys regardless of race, though in practice it was likely segregated or primarily served white youth based on the era, though no explicit race exclusion policy is noted in the provided search results."
Lakin Industrial School for Colored Boys ,West Virginia,Reformatory ,Black youth,Boys ,SELECT,1924 - 1956 ,Unknown ,Unknown ,no,SELECT,no,unknown,unknown,"While segregated schools of that era often included labor as part of training, specific, widely documented allegations of abusive forced labor—distinct from general vocational education—are not prominently highlighted in typical historical accounts of the Lakin institution itself."
State Industrial School for Colored Girls ,West Virginia,Reformatory ,Black youth,Girls ,"SELECT, No",1925 - 1956 ,Unknown ,Unknown ,Possible,unknown,no,yes ,yes ,"https://www.seacoastonline.com/story/news/2001/06/01/state-uncovers-forgotten-girls-cemetery/51298449007/ - Yes, the State Industrial Home for Colored Girls in West Virginia (established 1921) faced significant allegations and evidence of mistreatment. Historical reports indicated harsh punishment, inadequate conditions, and abuse, with some accounts suggesting it operated more as a penal institution with severely limited educational resources compared to its white counterpart."
Lyman School for Boys,"Westboro, Massachusetts",Reformatory ,All races,Boys ,No,1886- 1971 ,Unknown ,Unknown ,Rumored,unknown,no,no,yes ,"The Lyman School for Boys, located in Westborough, Massachusetts, was the first state-operated reform school in the United States, established in 1847 to rehabilitate delinquent boys. Originally known as the State Reform School for Boys, it operated as a, often strict, correctional institution, focusing on training through manual labor and education until it closed in the 1970s.-- Predecessor (1848–1884): Originally established as the State Reform School for Boys, the first state-funded reform school in the U.S..Transition (1884–1886): Following a fire and administrative restructuring, the school was reorganized.Establishment of Lyman (1886): Officially rebranded as the Lyman School for Boys with a new, dispersed ""cottage plan"" campus."
Whittier State School,"Whittier, California",Reformatory ,All races but segregated,Both,No,1891 - 2004 ,2 (suicide by hanging in their cells) ,2 (suicide by hanging in their cells) ,no,SELECT,no,yes ,no,"Based on historical reports, at least two specific, widely discussed deaths occurred at the Whittier State School (later Fred C. Nelles School) in California during 1939 and 1940. Two teenage boys, Manuel Moreno and J.A. Leiva, committed suicide by hanging themselves in their cells.1939-1940 Incident: Two Mexican American juvenile delinquents committed suicide in their cells, which prompted a public uproar and investigations into accusations of abuse by staff, according to a report in The Atlantic and a Project MUSE article."
Ferris School for Boys,"Wilmington, Delaware",Reformatory ,All races,Boys ,Yes,1885 - present ,Unknown ,Unknown ,no,SELECT,no,yes ,no,
MacLaren Youth Correctional Facility,"Woodburn, Oregon",Correctional,White youth ,Boys ,Yes,1926 - present,Unknown ,Unknown ,yes,maintained,yes ,yes ,no,"There is a cementary called Bonney Cemetery located on the grounds but it serves as a burial site for early Oregon settlers, not youth incarcerated there-- link to recent article https://katu.com/news/local/grand-jury-highlights-safety-well-being-issues-at-mclaren-youth-correctional-facility-oregon-authority-criminal-indictments"
Wyoming Boys School,"Worland, Wyoming",Correctional,White youth ,Boys ,Yes,1910 - present,Unknown ,Unknown ,no,SELECT,yes ,yes ,no,When it started it mostly housed white boys but early records did not explicitly state race-based exclusion. Link to 2022 report of the school https://wyofile.com/violence-restraints-isolation-increase-at-wyoming-boys-school/ 
Negro Boys Industrial School,"Wrightsville, Arkansas",Correctional,Black youth,Boys ,No,1927 - 1968 ,21,21,yes,maintained,yes ,yes ,yes ,"The latest report on the school seems to be in 2025 with an article from BlackPast.org going over the fire that killed 21 boys 
https://encyclopediaofarkansas.net/entries/negro-boys-industrial-school-fire-of-1959-5500/
https://katv.com/news/local/honoring-the-wrightsville-teenage-boys-who-died-in-school-fire "
New York State Training School for Girls ,New York,Reformatory ,All races,Girls ,No,1904 - 1975,Unknown,Unknown,no,SELECT,yes ,yes ,yes ,https://www.youtube.com/watch?v=ZwVMy6yYOrE
,,,,,,,,,,,,,,
,,,,,,,1076,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Update the folloowing with the citie sAugusta Reformatory — Georgia
Genoa Indian Industrial School — Nebraska
Lakin Industrial School for Colored Boys — West Virginia
State Industrial School for Colored Girls — West Virginia
(borderline) New York Training School for Boys — New York (city unclear—could be multiple locations)",,,,,,,,,,,,,,
