uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
63,422583001736,Highland Elementary School,4225830,West Shore SD,5/17/2005,2004-2005,2005,15:00:00,Tuesday,Lower Allen Township,Pennsylvania,public,445,1,0,1,targeted,47,m,NA,dating mother of student,1,suicide,NA,NA,NA,NA,NA,NA,403,23,10,9,0,NA,NA,0,9 mm semiautomatic handgun,NA,40.21999,-76.95256,24.2,KG,5,35,Cumberland County,42,42041,21
69,470042000117,Campbell County High School,4700420,Campbell County School Distrct,11/8/2005,2005-2006,2005,14:00:00,Tuesday,Jacksboro,Tennessee,public,1440,1,2,3,targeted and indiscriminate,15,m,w,student,0,NA,NA,NA,NA,NA,NA,NA,1429,0,6,5,0,NA,NA,0,.22-caliber pistol,NA,36.35086,-84.14832,79.4,9,12,851,Campbell County,47,47013,32
72,120171001868,Milwee Middle School,1201710,Seminole County School District,1/13/2006,2005-2006,2006,09:30:00,Friday,Longwood,Florida,public,1121,1,0,1,targeted,NA,m,w,SWAT officer,0,NA,NA,NA,NA,NA,NA,NA,635,158,309,18,1,NA,NA,1,high-powered rifle,police issued,28.68172,-81.34669,76,6,8,569,Seminole County,12,12117,21
79,062271003429,Venice High School,0622710,Los Angeles Unified,6/5/2006,2005-2006,2006,15:10:00,Monday,Los Angeles,California,public,3210,1,0,1,targeted,21,m,b,NA,0,NA,NA,NA,NA,NA,NA,NA,413,336,2173,269,19,NA,NA,0,handgun,NA,33.99881,-118.44282,129.2,9,12,2063,Los Angeles County,06,06037,11
82,080237000087,Platte Canyon High School,0802370,"Platte Canyon, School District No. 1, Of The County Of Park",9/27/2006,2006-2007,2006,11:40:00,Wednesday,Bailey,Colorado,public,476,1,0,1,targeted,53,m,w,NA,1,suicide,NA,NA,NA,NA,NA,NA,424,4,28,7,13,NA,NA,0,".40 S&W caliber Glock 22 pistol, Smith & Wesson .357-caliber revolver",NA,39.45566,-105.64543,26.2,9,12,82,Park County,08,08093,43
83,551647002155,Weston High School,5516470,Weston,9/29/2006,2006-2007,2006,08:10:00,Friday,Cazenovia,Wisconsin,public,119,1,0,1,targeted,15,m,w,student,0,NA,NA,NA,NA,NA,NA,NA,117,2,0,0,0,NA,NA,0,"long-barrel shotgun, 22-pistol",father,43.48211,-90.19016,10.5,9,12,35,Sauk County,55,55111,43
84,NA,West Nickel Mines Amish School,NA,NA,10/2/2006,2006-2007,2006,11:07:00,Monday,Nickel Mines,Pennsylvania,private,26,5,5,10,targeted,32,m,w,none; worked in community,1,suicide,NA,NA,NA,NA,NA,NA,26,0,0,0,0,NA,NA,0,"9mm handgun, a shotgun, a 30.06 rifle",purchased legally by shooter,39.960081,-76.084367,NULL,NA,NA,NULL,Lancaster County,42,42071,NA
86,530870001466,Henry Foss High School,5308700,Tacoma School District,1/3/2007,2006-2007,2007,07:30:00,Wednesday,Tacoma,Washington,public,1749,1,0,1,targeted,18,m,NA,student,0,NA,NA,NA,NA,NA,NA,NA,692,535,139,354,29,NA,NA,0,handgun,NA,47.24114,-122.49364,85.4,9,12,884,Peirce County,53,53053,12
100,061785002199,E.O. Green Junior High School,0617850,Hueneme Elementary,2/12/2008,2007-2008,2008,08:15:00,Tuesday,Oxnard,California,public,1065,1,0,1,targeted,14,m,NA,student,0,NA,NA,NA,NA,NA,NA,NA,125,49,829,58,4,NA,NA,0,.22-caliber handgun,relative,34.16568,-119.1814,50,6,8,775,Ventura County,06,06111,12
101,NA,Friends of Children Head Start center,NA,NA,3/18/2008,2007-2008,2008,13:00:00,Tuesday,Carthage,Mississippi,private,100,1,1,2,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,.45-caliber handgun,NA,NA,NA,NA,PK,PK,NA,Leake County,28,28079,32
102,061455001762,Roosevelt High School,0614550,Fresno Unified,4/16/2008,2007-2008,2008,11:54:00,Wednesday,Fresno,California,public,2735,1,0,1,targeted,38,m,NA,resource officer,0,NA,NA,NA,NA,NA,NA,NA,130,112,2039,444,10,NA,NA,1,pistol,department issued,36.74302,-119.7537,137.6,9,12,2466,Fresno County,06,06019,11
103,470222000775,Central High School,4702220,Knox County School District,8/21/2008,2008-2009,2008,08:10:00,Thursday,Knoxville,Tennessee,public,1210,1,0,1,targeted,15,m,NA,student,0,NA,NA,NA,NA,NA,NA,NA,872,254,55,25,4,NA,NA,1,"small-caliber, semiautomatic pistol",NA,36.0392,-83.9216,79.5,9,12,569,Knox County,47,47093,12
104,120018000169,Dillard High School,1200180,Broward,11/12/2008,2008-2009,2008,11:00:00,Wednesday,Fort Lauderdale,Florida,public,1758,1,0,1,targeted,15,f,b,student,0,NA,NA,NA,NA,NA,NA,NA,80,1576,76,6,1,NA,NA,1,.22-caliber semi-automatic handgun,family member,26.1383,-80.176,149.4,9,12,1193,Broward County,12,12011,12
112,450249000244,Carolina Forest High School,4502490,Horry 01,10/16/2009,2009-2010,2009,08:25:00,Friday,Conway,South Carolina,public,1958,1,0,1,targeted,NA,m,w,school resource officer,0,NA,NA,NA,NA,NA,NA,NA,1400,309,124,60,25,NA,NA,1,.40 caliber Glock,department issued,33.780761,-78.97152,102.5,9,12,901,Horry County,45,45051,41
114,010000800495,Discovery Middle School,0100008,Madison City,2/5/2010,2009-2010,2010,13:45:00,Friday,Madison,Alabama,public,1000,1,0,1,targeted,14,m,a,student,0,NA,NA,NA,NA,NA,NA,NA,707,188,27,50,8,NA,NA,1,.22-caliber pistol,friend's home,34.740322,-86.741148,54.5,7,9,176,Madison County,01,01089,22
118,470399001624,Sullivan Central High School,4703990,Sullivan County,8/30/2010,2010-2011,2010,09:10:00,Monday,Blountville,Tennessee,public,1115,1,0,1,targeted,NA,NA,NA,police officer,0,NA,NA,NA,NA,NA,NA,NA,1097,7,6,3,1,0,1,1,handgun,department issued,36.531336,-82.387049,67.7,9,12,386,Sullivan County,47,47163,41
120,063398005332,Alisal High School,0633980,Salinas Union High,10/1/2010,2010-2011,2010,07:53:00,Friday,Salinas,California,public,2478,1,0,1,targeted,NA,m,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,14,10,2420,28,1,5,0,0,NA,NA,36.686184,-121.595961,NULL,3,12,1869,Monterey County,06,06053,12
123,317374001251,Millard South High School,3173740,Millard Public Schools,1/5/2011,2010-2011,2011,12:45:00,Wednesday,Omaha,Nebraska,public,2043,1,2,3,targeted and indiscriminate,17,m,b,student,1,suicide,NA,NA,NA,NA,NA,NA,1668,79,186,32,12,6,60,0,Glock .40-caliber S&W pistol,father,41.203481,-96.146049,135.5,9,12,475,Douglas County,31,31055,11
125,063078004786,Louisiana Schnell Elementary School,0630780,Placerville Union Elementary,2/2/2011,2010-2011,2011,10:37:00,Wednesday,Placerville,California,public,424,1,0,1,targeted,44,m,w,janitor,0,NA,NA,NA,NA,NA,NA,NA,259,2,121,3,8,0,31,0,.357-caliber revolver,legally purchased by shooter,38.735106,-120.779419,NULL,KG,5,264,El Dorado County,06,06017,32
130,481168000648,Cummings Middle School,4811680,Brownsville ISD,1/4/2012,2011-2012,2012,08:00:00,Wednesday,Brownsville,Texas,public,746,1,0,1,targeted,NA,m,NA,police officer,0,NA,NA,NA,NA,NA,NA,NA,3,0,742,0,1,0,0,0,NA,department issued,25.913899,-97.493734,49.47,6,8,0,Cameron County,48,48061,12
134,390471802789,Chardon High School,3904718,Chardon Local,2/27/2012,2011-2012,2012,07:30:00,Monday,Chardon,Ohio,public,1058,3,3,6,indiscriminate,17,m,w,"student at neighboring school, rode bus with some victims",0,NA,NA,NA,NA,NA,NA,NA,1028,5,9,4,4,0,8,0,Ruger MK III .22 caliber semi-automatic handgun,uncle,41.591297,-81.199958,58,9,12,193,Geauga County,39,39055,31
135,00259508,Episcopal School of Jacksonville,NA,NA,3/6/2012,2011-2012,2012,13:15:00,Tuesday,Jacksonville,Florida,private,869,1,0,1,targeted,28,m,w,fired teacher,1,suicide,NA,NA,NA,NA,NA,NA,753,44,25,5,3,0,39,0,AK-47 assault-style rifle,legally purchased at gun show,30.308617,-81.617917,92.8,6,12,NULL,Duval County,12,12031,11
