uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale
324,080615001357,Liberty Point International School,0806150,Pueblo County School District 70,2/22/2022,2021-2022,2022,15:30:00,Tuesday,Pueblo West,Colorado,public,536,1,0,1,targeted,NA,NA,NA,police officer,NA,NA,NA,NA,NA,NA,NA,NA,256,4,227,0,4,2,43,NA,service weapon,NA,38.3173,-104.7291,26,6,8,319,Pueblo County,08,08101,22
319,190897000528,East High School,1908970,Des Moines Public Schools,3/7/2022,2021-2022,2022,15:00:00,Monday,Des Moines,Iowa,public,2204,1,2,3,indiscriminate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644,339,922,158,10,2,129,NA,NA,NA,41.5969,-93.600681,97.1,9,12,1815,Polk County,19,19153,12
326,531011001690,Eisenhower High School,5310110,Yakima School District,3/15/2022,2021-2022,2022,15:00:00,Tuesday,Yakima,Washington,public,1908,1,1,2,targeted,15,m,NA,student,NA,NA,NA,NA,NA,NA,NA,NA,447,11,1372,12,21,1,43,NA,NA,NA,46.591635,-120.565796,97.97,9,12,1333,Yakima County,53,53077,13
339,380004600461,Mott-Regent School,3800046,Mott-regent 1,4/21/2022,2021-2022,2022,NA,Wednesday,Hettinger County,North Dakota,public,98,1,0,1,unclear,NA,m,NA,police officer,NA,NA,NA,NA,NA,NA,NA,NA,87,2,3,0,5,1,0,NA,service pistol,NA,46.372185,-102.318612,15.5,7,12,43,Hettinger County,38,38041,43
321,450231001254,Tanglewood Middle,4502310,Greenville County School District,3/31/2022,2021-2022,2022,12:26:00,Thursday,Greenville,South Carolina,public,868,1,0,1,targeted,12,m,NA,student,NA,NA,NA,NA,NA,NA,NA,NA,105,351,379,0,4,0,29,NA,handgun,NA,34.824083,-82.46882,45,6,8,868,Greenville County,45,45045,41
343,120150002783,Alexander W. Dreyfoos School of Arts,1201500,Palm Beach County,5/13/2022,2021-2022,2022,11:58:00,Friday,West Palm Beach,Florida,public,1363,1,0,0,targeted,NA,f,NA,off-duty police officer,NA,NA,NA,NA,NA,NA,NA,NA,710,125,326,127,3,0,72,NA,NA,NA,26.709238,-80.059481,65,9,12,327,Palm Beach County,12,12099,12
327,484372004970,Robb Elementary School,4843720,Uvalde CISD,5/24/2022,2021-2022,2022,11:33:00,Tuesday,Uvalde,Texas,public,538,21,12,33,indiscriminate,18,m,h,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,6,516,0,0,0,2,NA,NA,NA,29.199304,-99.78812,34.53,3,4,438,Uvalde County,48,48463,33
347,010162000565,Walnut Park Elementary,0101620,Gadsden City,6/9/2022,2022-2023,2022,09:30:00,Thursday,Gadsden,Alabama,public,203,1,1,2,targeted,NA,NA,NA,police officer,NA,NA,NA,NA,NA,NA,NA,NA,118,48,35,1,1,0,0,NA,NA,NA,34.0107,-86.0562,13.46,PK,5,252,Etowah County,01,01055,13
350,240009000280,Mergenthaler Vocational Technical High School,2400090,Baltimore City Public Schools District,9/2/2022,2022-2023,2022,15:00:00,Friday,Baltimore,Maryland,public,1785,1,0,1,targeted,17,m,NA,student,NA,NA,NA,NA,NA,NA,NA,NA,51,1577,145,6,0,1,5,NA,handgun,NA,39.3322,-76.5911,105.5,9,12,1187,Baltimore City,24,24510,11
356,292928002013,Central Visual and Performing Arts High School,2929280,St. Louis City,10/24/2022,2022-2023,2022,09:10:00,Monday,St. Louis,Missouri,public,380,2,7,9,unclear,19,m,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,289,26,6,1,0,2,NA,NA,NA,38.604372,-90.270897,26.45,9,12,377,St. Louis City,29,29510,11
357,530771001187,Ingraham High School,5307710,Seattle School District No. 1,11/8/2022,2022-2023,2022,NA,Tuesday,Seattle,Washington,public,1483,1,0,1,targeted,14,m,NA,student,NA,NA,15,m,NA,student,NA,NA,762,155,235,147,7,5,166,NA,handgun,NA,47.7257,-122.3369,72.41,9,12,186,King County,53,53033,11
378,480870000253,Lamar High School,4808700,Arlington Isd,3/20/2023,2022-2023,2023,06:55:00,Monday,Arlington,Texas,public,2541,1,1,2,unclear,NA,m,NA,student,NA,NA,NA,NA,NA,NA,NA,NA,385,901,1107,65,13,3,67,NA,NA,NA,32.763804,-97.125993,166.97,9,12,"1,820",Tarrant County,48,48439,11
380,A0503352,The Covenant School,NA,NA,3/27/2023,2022-2023,2023,10:13:00,Monday,Nashville,Tennessee,private,200,6,0,6,indiscriminate,28,f,w,former student,1,police shooting,NA,NA,NA,NA,NA,NA,112,3,0,1,0,0,0,NA,NA,NA,36.09286762,-86.82526612,15,PK,6,NA,Davidson County,47,47037,11
387,110003000008,Roosevelt High School,1100030,District Of Columbia Public Schools,5/17/2023,2022-2023,2023,14:25:00,Wednesday,Washington,District of Columbia,public,797,1,0,1,unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,432,354,4,0,0,1,NA,NA,NA,38.942971,-77.029177,67.9,9,12,392,District Of Columbia,11,11001,11
389,421917006047,Oliver Citywide Academy,4219170,Pittsburgh Sd,5/24/2023,2022-2023,2023,07:30:00,Wednesday,Pittsburgh,Pennsylvania,public,106,1,0,1,targeted,15,m,NA,student,NA,NA,NA,NA,NA,NA,NA,NA,9,82,2,1,0,0,12,NA,NA,NA,40.464327,-80.024121,22.63,3,12,88,Allegheny County,42,42003,11
393,220147001154,St. Helena College and Career Academy,2201470,ST. Helena Parish,9/12/2023,2023-2024,2023,15:00:00,Tuesday,Greensburg,Louisiana,public,513,1,2,3,unclear,14,NA,NA,student,NA,NA,NA,NA,NA,NA,NA,NA,27,472,9,0,0,0,5,NA,NA,NA,30.8274,-90.6714,23,7,12,456,ST. Helena Parish,22,22091,42
396,180020602669,KIPP Indy Legacy High School,1800206,Kipp Indy Legacy High,11/3/2023,2023-2024,2023,13:00:00,Friday,Indianapolis,Indiana,public,304,1,0,1,targeted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,240,40,0,0,0,12,NA,NA,NA,39.798199,-86.13026,27,9,11,290,Marion County,18,18097,11
398,192253001355,Perry High School,1922530,Perry Comm School District,1/4/2024,2023-2024,2024,07:37:00,Thursday,Perry,Iowa,public,573,2,6,8,unclear,17,m,NA,student,1,suicide,NA,NA,NA,NA,NA,NA,205,15,330,4,1,1,17,NA,"handgun, shotgun",NA,41.840737,-94.080785,39.78,9,12,294,Dallas County,19,19049,32
415,530732002704,William Wiley Elementary School,5307320,Richland School District,4/22/2024,2023-2024,2024,15:32:00,Monday,West Richland,Washington,public,527,1,0,1,targeted,40,m,NA,ex-husband of teacher,1,suicide,NA,NA,NA,NA,NA,NA,394,7,86,8,0,0,32,NA,NA,NA,46.2745,-119.3555,29,KG,5,150,Benton County,53,53005,22
416,120150001484,Suncoast High School,1201500,Palm Beach,4/22/2024,2023-2024,2024,NA,Monday,Riviera Beach,Florida,public,1592,1,0,1,targeted,NA,f,NA,police officer,NA,NA,NA,NA,NA,NA,NA,NA,543,348,363,257,2,1,78,NA,NA,NA,26.77836,-80.081529,80,9,12,420,Palm Beach County,12,12099,21
417,480870021493,Bowie High School,4808700,Arlington Isd,4/24/2024,2023-2024,2024,14:50:00,Wednesday,Arlington,Texas,public,2391,1,0,1,unclear,17,NA,NA,student,NA,NA,NA,NA,NA,NA,NA,NA,163,870,936,358,9,5,50,NA,NA,NA,32.662576,-97.073088,156.69,9,12,"1,635",Tarrant County,48,48439,11
419,550999000385,Mount Horeb Middle School,5509990,Mount Horeb Area School District,5/1/2024,2023-2024,2024,11:00:00,Wednesday,Mount Horeb,Wisconsin,public,491,1,0,1,targeted,NA,NA,NA,police,NA,police shooting,NA,NA,NA,NA,NA,NA,447,6,21,3,0,0,14,NA,NA,NA,43.006314,-89.728462,41.73,6,8,64,Dane County,55,55025,31
421,530771001171,Garfield High School,5307710,Seattle School District NO. 1,6/7/2024,2023-2024,2024,12:45:00,Friday,Seattle,Washington,public,1642,1,0,1,targeted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,443,161,205,4,12,187,NA,NA,NA,47.605,-122.3019,68.2,9,12,660,King County,53,53033,11
422,130029002350,Apalachee High School,1300290,Barrow County,9/4/2024,2024-2025,2024,11:30:00,Wednesday,Winder,Georgia,public,1894,4,7,11,unclear,14,m,NA,student,0,NA,NA,NA,NA,NA,NA,NA,883,334,499,73,2,0,103,NA,NA,NA,33.9483,-83.7856,122.3,9,12,931,Barrow County,13,13013,41
432,01933863,Abundant Life Christian School,NA,NA,12/16/2024,2024-2025,2024,10:57:00,Monday,Madison,Wisconsin,private,292,2,6,8,NA,15,f,NA,student,1,suicide,NA,NA,NA,NA,NA,NA,206,23,28,12,0,0,23,NA,NA,NA,43.07146,-89.298221,24.9,KG,12,NA,Dane County,55,55025,11
433,470318001257,Antioch High School,4703180,Davidson County,1/22/2025,2024-2025,2025,11:00:00,Wednesday,Antioch,Tennessee,public,2131,1,1,2,unclear,17,m,NA,student,1,suicide,NA,NA,NA,NA,NA,NA,254,665,1115,61,1,1,34,NA,NA,NA,36.046822,-86.598929,128.01,9,12,578,Davidson County,47,47037,11
